data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
4740818,404,KEN5399,5399,4/18/2017,2017,1,Strategic developments,Other,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),Jubilee Coalition,7,37,Eastern Africa,Kenya,Kiambu,Githunguri,Ikinu,Ikinu,-1.1099,36.7904,1,Daily Nation (Kenya),National,"Non-violent activity: Mr Kenneth Kinyanjui, who is fighting for the Ikinu MCA's seat, went missing on Tuesday night before resurfacing on Tuesday",0,1552577087,KEN
4741009,404,KEN5997,5997,4/17/2017,2017,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Eastern Africa,Kenya,Kiambu,Gatundu North,Ndarugu,Kieni,-0.85,36.6833,2,Daily Nation,National,"Sheila Githaiga, who is running for senate in Kieni, was ambushed and beaten by 30 men wielding batons and machetes.",0,1552577087,KEN
4741157,404,KEN5395,5395,4/17/2017,2017,1,Riots,Mob violence,Rioters (Kenya),ODM: Orange Democratic Movement,5,Rioters (Kenya),ODM: Orange Democratic Movement,5,55,Eastern Africa,Kenya,Taita Taveta,Mwatate,Chawia,Mwatate,-3.4995,38.3762,1,Capital FM (Nairobi),National,"Two factions of ODM clash, those loyal to Governor John Mruttu and those of National Assembly Minority Whip Thomas Mwadeghu, at a party meeting over vote tampering. The two sides also became violent on 16/04 over the choice of election clerks.",0,1552577087,KEN
4741159,404,KEN6137,6137,4/17/2017,2017,1,Riots,Mob violence,Rioters (Kenya),Jubilee Coalition,5,Rioters (Kenya),Jubilee Coalition,5,55,Eastern Africa,Kenya,Kajiado,Kajiado Central,Matapato South,Namanga,-2.5431,36.791,1,The Star,National,Supporters of two governor primary candidates (Joseph Ole Lenku and Tarayia Ole Kores) of the Jubilee party clashed on 17/04/2017 in Namanga. Seven people were injured but there were no fatalities.,0,1552577087,KEN
4741158,404,KEN5396,5396,4/17/2017,2017,1,Riots,Mob violence,Rioters (Kenya),ODM: Orange Democratic Movement,5,Rioters (Kenya),ODM: Orange Democratic Movement,5,55,Eastern Africa,Kenya,Homa Bay,Suba South,Gwassi,Magunga,-0.6888,34.1505,1,Daily Nation (Kenya),National,ODM supporters of John Mbadi clash with those of Caroli Omondi at a party rally in Magunga on 17/04. Two reported injuries.,0,1552577087,KEN
4741443,404,KEN5393,5393,4/16/2017,2017,1,Riots,Mob violence,Rioters (Kenya),ODM: Orange Democratic Movement,5,Rioters (Kenya),ODM: Orange Democratic Movement,5,55,Eastern Africa,Kenya,Taita Taveta,Mwatate,Chawia,Mwatate,-3.4995,38.3762,1,Capital FM (Nairobi),National,"Two factions of ODM clash, those loyal to Governor John Mruttu and those of National Assembly Minority Whip Thomas Mwadeghu, at a party meeting over vote tampering. The two sides also became violent on 16/04 over the choice of election clerks.",0,1552577088,KEN
4741502,404,KEN5386,5386,4/15/2017,2017,3,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Eastern Africa,Kenya,Tana River,Galole,Chewani,Hola,-1.5036,40.0333,3,Daily Nation,National,"Residents claim that in the last two months 10 people have been killed (4 in March, 6 in April) in raids on several villages in Lamu and Tana River counties. Though mainly related to cattle theft, a resident believes ""some politicians were behind the raids.""",3,1552577088,KEN
4741503,404,KEN5387,5387,4/15/2017,2017,3,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),,7,37,Eastern Africa,Kenya,Lamu,Lamu West,Shella,Lamu,-2.2717,40.902,3,Daily Nation,National,"Residents claim that in the last two months 10 people have been killed (4 in March, 6 in April) in raids on several villages in Lamu and Tana River counties. Though mainly related to cattle theft, a resident believes ""some politicians were behind the raids.""",3,1552577088,KEN
4741504,404,KEN5388,5388,4/15/2017,2017,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Kiambu,Kabete,Kabete,Kabete,-1.2333,36.7167,1,Daily Nation (Kenya),National,"Protests broke out in Kabete, Kiambu County on 15/04 following the disappearance of a parliamentary aspirant. The politician was reported missing the previous night, while his car, riddled with bullet holes, was found early Saturday in Gitaru. The fate of his person is not known.",0,1552577088,KEN
4741505,404,KEN5389,5389,4/15/2017,2017,1,Protests,Peaceful protest,Protesters (Kenya),ODM: Orange Democratic Movement,6,,,0,60,Eastern Africa,Kenya,Kakamega,Khwisero,Kisa North,Khwisero,0.1672,34.5996,1,Daily Nation (Kenya),National,"ODM party has cancelled nomination results for Khwisero constituency due to irregularities, resulting in protests. No reports of violence",0,1552577088,KEN
4741506,404,KEN5391,5391,4/15/2017,2017,1,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,4,Civilians (Kenya),,7,47,Eastern Africa,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.6667,3,Daily Nation (Kenya),National,"A father of four is killed by 200 'land invaders' that villagers claim had been invading land claiming they were squatters, only to later sell it to private developers.",1,1552577088,KEN
4741507,404,KEN5392,5392,4/15/2017,2017,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.6667,3,Daily Nation (Kenya),National,Residents corner and kill a man accused of joining in on a land seizure in which a local was killed.,1,1552577088,KEN
4741695,404,KEN5394,5394,4/15/2017,2017,2,Battles,Armed clash,Police Forces of Kenya (2013-) General Service Unit,,1,Unidentified Communal Militia (Kenya),Pastoralists (Kenya),4,14,Eastern Africa,Kenya,Laikipia,Laikipia East,Githiga,Tandar,0.3813,36.2933,2,Daily Nation (Kenya),National,Two General Service Unit (GSU) officers are reported missing following a weekend shootout with herders at Matweku near the Laikipia Nature Conservancy at the border of Laikipia and Baringo counties.,0,1552577088,KEN
4741696,404,KEN5996,5996,4/15/2017,2017,1,Battles,Armed clash,Pokot Ethnic Militia (Kenya),,4,Police Forces of Kenya (2013-),,1,14,Eastern Africa,Kenya,Elgeyo-Marakwet,Marakwet East,Sambirir,Elegeyo-Marakwet,0.99,35.55,2,Kenya Standard,National,"Pokot militia raided several villages in Marakwet East, but were repulsed by the police.",0,1552577088,KEN
4741701,404,KEN5390,5390,4/15/2017,2017,1,Riots,Mob violence,Rioters (Kenya),ODM: Orange Democratic Movement,5,ODM: Orange Democratic Movement,,3,35,Eastern Africa,Kenya,Migori,Nyatike,Karungu,Sori,-0.8409,34.1598,1,Daily Nation (Kenya),National,"In Migori, unidentified youths invaded a rally in Sori Town on Saturday evening, forcing ODM activist Peter Jobando, a licensed firearm holder, to fire in the air several times.",0,1552577088,KEN
4741806,404,KEN5383,5383,4/14/2017,2017,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),Al Shabaab,7,37,Eastern Africa,Kenya,Nakuru,Naivasha,Lake View,Naivasha,-0.7202,36.4285,1,Xinhua,International,"Two suspected Islamist militants are killed in an extra-judicial killing by unidentified assailants in Naivasha. Both were suspected of recruiting and funding ""terror"" activities.",2,1552577088,KEN
4741807,404,KEN5384,5384,4/14/2017,2017,1,Strategic developments,Other,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),Jubilee Coalition,7,37,Eastern Africa,Kenya,Kiambu,Kabete,Kabete,Kabete,-1.2333,36.7167,1,Daily Nation (Kenya),National,"Non-violent activity: On Friday, the Kabete Jubilee parliamentary aspirant Charles Chege disappeared and resurfaced on Sunday morning",0,1552577088,KEN
4741932,404,KEN5994,5994,4/14/2017,2017,1,Battles,Armed clash,Pokot Ethnic Militia (Kenya),,4,Police Forces of Kenya (2013-),,1,14,Eastern Africa,Kenya,Elgeyo-Marakwet,Marakwet East,Sambirir,Elegeyo-Marakwet,0.99,35.55,2,Kenya Standard,National,"Pokot militia raided several villages in Marakwet East, but were repulsed by the police.",0,1552577088,KEN
4741933,404,KEN5995,5995,4/14/2017,2017,1,Battles,Armed clash,Pokot Ethnic Militia (Kenya),,4,Police Forces of Kenya (2013-),,1,14,Eastern Africa,Kenya,Laikipia,Laikipia East,Sosian,Olmaiso,0.4597,36.5785,1,Nairobi Star,National,"There were intense firefights between Pokot militias and government forces near Olmaiso, in Laikipia.",0,1552577088,KEN
